	z_coordinate_0	z_coordinate_1
181	-0.19898126	-0.07696855
182	-0.15480849	0.023631245
183	-0.09617522	-0.097923696
184	-0.113735944	-0.031363904
185	-0.12452328	-0.06631747
186	-0.13691565	-0.076952994
187	-0.06861243	0.054037213
188	-0.12081453	-0.08278224
189	-0.25552753	0.010352641
190	-0.08534756	0.016852379
191	-0.09973617	-0.024061024
192	-0.19624603	-0.122063845
193	-0.1713835	-0.09707999
194	-0.20827672	-0.14452991
195	-0.2245329	-0.04373838
196	-0.14750615	-0.08526367
197	-0.14581344	-0.035570085
198	-0.34395066	-0.047649086
199	-0.1798634	-0.049730852
200	-0.095015556	-0.11942063
201	-0.14577684	-0.07880652
202	-0.08383246	-0.07377036
203	-0.1166787	0.022730231
204	-0.19396177	-0.13871771
205	-0.28604242	-0.038129807
206	-0.09621848	-0.19003242
207	-0.14769319	-0.093519926
208	-0.20915157	0.062199265
209	-0.13450694	-0.13562171
210	-0.19186246	-0.06451063
211	-0.19376716	-0.05145955
212	-0.1363299	-0.06366131
213	-0.18499741	0.015834868
214	-0.18819055	-0.092685744
215	-0.2719781	-0.04676023
216	-0.20346189	-0.095068365
217	-0.22294804	-0.06889579
218	-0.42223868	0.00011277199
219	-0.1260685	-0.05195588
220	-0.22384515	-0.08798793
221	-0.23415348	-0.04294616
222	-0.22227216	0.0196248
223	-0.13940799	-0.06965728
224	-0.19366875	-0.075246185
225	-0.053735986	-0.06183429
226	-0.036371797	-0.05687432
227	-0.16931003	-0.066917986
228	-0.1896387	-0.1002368
229	-0.19308582	-0.020650595
230	-0.28101033	-0.05740446
231	-0.2068106	-0.053675145
232	-0.10756943	-0.07258776
233	-0.1362265	-0.0045433342
234	-0.21137658	-0.075775
235	-0.07035512	-0.118662536
236	-0.2081005	-0.0048118234
237	-0.17641172	0.0023231208
238	-0.17320731	-0.086495996
239	-0.057130247	-0.12682861
240	-0.16846067	0.12421203
241	-0.19804367	-0.021909818
242	-0.09581895	-0.05396846
243	-0.06314969	0.013071716
244	-0.08454159	-0.036875606
245	-0.03069432	-0.041154087
246	-0.18794018	-0.09144494
247	-0.16455528	-0.05144739
248	-0.204498	0.048846334
249	-0.184522	-0.04171887
250	-0.20431697	-0.09045257
251	-0.17299697	-0.07420856
252	-0.21460399	-0.047326386
253	-0.1261513	-0.13767824
254	-0.14156398	-0.06012799
255	-0.18998918	-0.047221854
256	-0.19819534	-0.10881518
257	-0.21535331	-0.057011217
258	-0.1811862	0.008519709
259	-0.18226334	0.037292868
260	-0.14626226	0.010016799
261	-0.16140053	-0.0012052506
262	-0.11660029	0.036501482
263	-0.060458824	-0.021677613
264	-0.14786774	-0.048282757
265	-0.17139316	0.0447796
266	-0.22622845	0.022607327
267	-0.13319442	0.023760945
268	-0.15472308	-0.009511977
269	-0.17922291	-0.04371029
270	-0.1419617	-0.04595478
271	-0.16262922	-0.0907878
272	-0.14348352	0.043584585
273	-0.16401938	-0.0843167
274	-0.2487472	-0.17416069
275	-0.2518938	-0.06690478
276	-0.2091529	-0.049122483
277	-0.1543256	-0.09575048
278	-0.060716346	-0.17030534
279	-0.11004183	-0.07105842
280	-0.23763126	-0.036433637
281	-0.23669079	-0.078790694
282	-0.14858142	-0.13563481
283	-0.11028084	-0.104117334
284	-0.17697808	-0.04583867
285	-0.22662187	-0.119053945
286	-0.1461966	-0.02864398
287	-0.23376113	-0.09024711
288	-0.028022856	0.023603559
289	-0.245776	-0.036105454
290	-0.22169033	-0.02585268
291	-0.14757705	-0.12958871
292	-0.25015178	0.023455232
293	-0.15699282	-0.09815642
294	-0.20185852	-0.098658964
295	-0.12161961	-0.12368165
296	-0.081265315	-0.08887732
297	-0.11086294	-0.104928195
298	-0.10577759	-0.0038758516
299	-0.19299552	-0.03785354
300	-0.09551445	-0.08963674
301	-0.31293854	-0.03274584
302	0.007789418	-0.03295426
303	-0.20643958	0.0037541986
304	-0.27521846	0.085187316
305	-0.10782841	-0.025097951
306	-0.27796647	-0.14831878
307	-0.14904097	0.081918806
308	-0.054621056	-0.10855937
309	-0.22856838	-0.06836456
310	-0.13069928	-0.2477467
311	-0.24402663	-0.14770997
312	-0.20911783	0.0047510564
313	-0.20825076	-0.121466994
314	-0.08939625	-0.04603845
315	-0.27397805	-0.018325001
316	-0.18104249	-0.0023413897
317	-0.1342569	-0.08064628
318	-0.16252226	-0.09728843
319	-0.11581014	-0.052110255
320	-0.2272107	-0.24077043
321	-0.20878115	-0.2431143
322	-0.18938407	-0.049643427
323	-0.16771385	0.01208806
324	-0.15244797	0.05474004
325	-0.055175185	-0.03863123
326	-0.0024304092	-0.018131077
327	-0.18009973	-0.023351654
328	-0.14616004	0.099443555
329	-0.1915339	-0.079164505
330	-0.0852714	-0.097328514
331	-0.13474189	-0.032381475
332	-0.16243449	-0.032568187
333	-0.28188795	-0.019739121
334	-0.2642217	-0.09533727
335	-0.17903593	-0.044010267
336	-0.023093924	0.035202146
337	-0.12700653	0.033353835
338	0.0030471832	-0.02599302
339	-0.15440407	-0.046626
340	-0.25653884	-0.11442095
341	-0.18718621	-0.13005522
342	-0.10229702	-0.0569475
343	-0.17724815	-0.06728223
344	-0.2258043	0.038523108
345	-0.106111616	-0.10284132
346	-0.1731093	-0.01031585
347	-0.1771343	-0.081762016
348	-0.15739876	0.11492601
349	-0.24064395	-0.13655366
350	-0.13315636	0.025162369
351	0.0046068504	-0.092163146
352	-0.11592595	-0.08431929
353	-0.2759788	-0.07659978
354	-0.20067921	0.00038832426
355	-0.17347452	-0.07048842
356	-0.24718118	0.03646627
357	-0.14920476	0.1027357
358	-0.18634978	-0.06643477
359	-0.1832447	-0.12082356
360	-0.17583597	-0.11685628
361	-0.11038758	-0.08041227
362	-0.23239785	-0.07881439
363	-0.1557802	-0.122104004
364	-0.27195153	-0.17900208
365	-0.28017697	-0.061239332
366	-0.06678712	0.008240104
367	-0.10436113	-0.09432012
368	-0.1823295	-0.21877295
369	-0.22504428	-0.013542563
370	-0.20893654	-0.1187295
371	-0.13311279	-0.10413125
372	-0.28211227	-0.1300099
373	-0.09850825	7.368624e-05
374	-0.16918752	-0.10957417
375	-0.13229936	-0.016954973
376	-0.2080268	-0.14215249
377	-0.22284827	-0.029690772
378	-0.08568129	0.06853545
379	-0.13271126	0.008134812
380	-0.24567598	-0.087256566
381	-0.23050517	-0.026037157
382	-0.24208075	-0.028464168
383	-0.044032574	-0.07072008
384	-0.28656557	-0.059925586
385	0.06702119	0.16447628
386	-8.653104e-05	-0.10868855
387	-0.067852005	0.0077281296
388	-0.13917775	-0.12068701
389	-0.008414894	-0.095511734
390	-0.12735213	-0.09250392
391	-0.17022628	-0.014558345
392	-0.19468853	0.06216383
393	-0.16037014	-1.9788742e-05
394	-0.18282291	-0.020616412
395	-0.15608278	-0.11115913
396	-0.23995331	-0.13307434
397	-0.19140157	0.0011332631
398	-0.21442315	-0.006681055
