	z_coordinate_0	z_coordinate_1
82	-0.060301274	-0.23031715
83	-0.15062574	0.011486381
84	-0.1584239	0.06826204
85	-0.23326263	-0.12746641
86	-0.19239941	0.00012761354
87	-0.15798342	-0.0030442774
88	-0.19784534	-0.016557276
89	-0.16680992	-0.107862085
90	-0.017091125	-0.0075359046
91	-0.14773506	-0.022785038
92	-0.16616777	-0.09465912
93	-0.13878635	-0.08959627
94	-0.15119562	-0.09448506
95	-0.09850088	-0.041864127
96	-0.09602499	0.048235327
97	-0.13605121	-0.021821946
98	-0.17687729	-0.10363853
99	-0.101016074	-0.123856395
100	-0.23579946	-0.022196442
101	-0.053902	-0.05242631
102	-0.21454725	-0.040369645
103	-0.1806668	-0.1295821
104	-0.13170476	0.08855215
105	-0.2421127	0.005848676
106	-0.15757564	-0.018432647
107	-0.12679368	-0.11374521
108	-0.21923375	-0.097812206
109	-0.19899458	0.05504191
110	-0.24156246	-0.0034556985
111	-0.13890183	-0.01043281
112	-0.16346064	-0.054316223
113	-0.11190654	-0.03530574
114	-0.130357	-0.11701107
115	-0.09975925	-0.11197762
116	-0.22417995	-0.056336835
117	-0.12596995	0.11587888
118	-0.30635318	-0.054982007
119	-0.19339815	-0.18143445
120	-0.17055577	-0.049926817
121	-0.13309279	-0.017792642
122	-0.13678443	-0.13081779
123	-0.25170538	-0.00025066733
124	-0.09069526	0.040181965
125	-0.17213473	-0.041163445
126	-0.2802787	-0.011708498
127	-0.15864235	-0.11513454
128	-0.16653651	0.010179356
129	-0.15913221	-0.04728125
130	-0.2685791	0.006997496
131	-0.09660211	0.0072315335
132	-0.22084987	-0.10190126
133	-0.1251788	0.032673925
134	-0.18127003	0.030323863
135	-0.18516955	-0.05362621
136	-0.22841227	-0.009354293
137	-0.24999121	-0.11581348
138	-0.1539124	-0.08403058
139	-0.15369293	-0.112566605
140	-0.21145844	-0.039025456
141	-0.09883742	0.020025223
142	-0.19045088	0.047569335
143	-0.29011598	0.010856986
144	-0.028797641	-0.053784043
145	-0.18310449	-0.07452157
146	-0.20281175	-0.058267504
147	-0.101965606	-0.08232364
148	-0.16450909	-0.108734146
149	-0.20544147	0.042497605
150	-0.21777236	0.09350094
151	-0.0901362	0.053626716
152	-0.20465153	-0.074908555
153	-0.17200029	0.015708536
154	-0.114405125	-0.10417338
155	-0.03259033	-0.14533421
156	-0.18541479	-0.069159985
157	-0.2546087	-0.004573822
158	-0.101668015	-0.00039884448
159	-0.29407308	-0.03656146
160	-0.32694495	-0.18728316
161	-0.2311796	-0.04877819
162	-0.16675282	-0.14422536
163	-0.09740791	-0.03138569
164	-0.19935784	-0.12105331
165	-0.05860193	-0.040265888
166	-0.21832144	-0.077209756
167	-0.16249111	0.044514418
168	-0.16423336	0.0635055
169	-0.20768073	-0.120479316
170	-0.26025286	0.018924475
171	-0.11446701	0.055022597
172	-0.10222712	0.07493302
173	0.024914712	0.04901153
174	-0.14424899	-0.101891756
175	-0.16814408	0.01233694
176	-0.20948464	-0.06766562
177	-0.13213778	-0.07068986
178	-0.18950436	0.008736104
179	-0.23512939	-0.020356715
180	-0.2216653	-0.111262724
181	-0.1989812	-0.07696849
182	-0.15480843	0.023631245
183	-0.09617528	-0.097923756
184	-0.113735944	-0.031363934
185	-0.12452319	-0.06631753
186	-0.13691565	-0.07695301
187	-0.06861243	0.054037184
188	-0.12081453	-0.08278221
189	-0.25552756	0.010352641
190	-0.08534759	0.016852468
191	-0.099736154	-0.024061069
192	-0.19624612	-0.122063845
193	-0.17138344	-0.09708002
194	-0.20827672	-0.14452991
195	-0.22453299	-0.04373844
196	-0.14750618	-0.08526373
197	-0.14581344	-0.035570115
198	-0.34395072	-0.047649145
199	-0.1798633	-0.04973091
200	-0.0950156	-0.11942056
201	-0.14577687	-0.07880649
202	-0.08383253	-0.07377036
203	-0.1166787	0.022730261
204	-0.19396168	-0.13871783
205	-0.28604242	-0.038129807
206	-0.0962186	-0.19003245
207	-0.14769319	-0.09351987
208	-0.2091516	0.062199295
209	-0.13450697	-0.1356216
210	-0.1918624	-0.06451069
211	-0.19376713	-0.051459596
212	-0.13632983	-0.06366134
213	-0.18499741	0.015834868
214	-0.18819061	-0.092685744
215	-0.2719783	-0.0467602
216	-0.20346192	-0.095068246
217	-0.22294804	-0.068895936
218	-0.42223868	0.00011280179
219	-0.12606849	-0.05195591
220	-0.22384515	-0.08798799
221	-0.23415348	-0.04294616
222	-0.22227213	0.01962477
223	-0.13940799	-0.06965737
224	-0.19366872	-0.0752462
225	-0.05373597	-0.061834306
226	-0.036371768	-0.05687432
227	-0.16931003	-0.066918
228	-0.1896387	-0.10023685
229	-0.19308573	-0.020650506
230	-0.28101033	-0.05740446
231	-0.2068105	-0.053675145
232	-0.10756938	-0.07258771
233	-0.13622645	-0.0045431703
234	-0.21137652	-0.07577497
235	-0.07035507	-0.118662626
236	-0.2081005	-0.004811883
237	-0.1764116	0.0023230612
238	-0.17320737	-0.086496055
239	-0.057130307	-0.1268286
240	-0.16846067	0.124212086
241	-0.19804364	-0.021909803
242	-0.09581897	-0.05396843
243	-0.06314978	0.013071686
244	-0.084541544	-0.036875635
245	-0.030694336	-0.041154057
246	-0.18794018	-0.09144494
247	-0.16455522	-0.05144748
248	-0.2044979	0.048846275
249	-0.184522	-0.04171887
250	-0.204317	-0.090452656
251	-0.17299694	-0.07420857
252	-0.21460399	-0.047326446
253	-0.12615126	-0.13767822
254	-0.14156397	-0.06012802
255	-0.18998927	-0.04722187
256	-0.19819531	-0.108815104
257	-0.21535328	-0.057011217
258	-0.18118617	0.008519709
259	-0.18226334	0.037293017
260	-0.14626235	0.010016739
261	-0.16140047	-0.0012053102
262	-0.116600305	0.036501408
263	-0.060458913	-0.021677613
264	-0.14786774	-0.048282653
265	-0.17139319	0.0447796
266	-0.22622845	0.022607207
267	-0.13319436	0.023760974
268	-0.15472317	-0.009511918
269	-0.17922291	-0.043710276
270	-0.1419616	-0.045954794
