	z_coordinate_0	z_coordinate_1
120	0.16795157	0.07155742
121	0.16800047	0.07189678
122	0.16821744	0.071863696
123	0.16859445	0.07136719
124	0.16790244	0.0717379
125	0.16902708	0.07162611
126	0.16793042	0.07170488
127	0.1676484	0.07186116
128	0.16801767	0.07181318
129	0.16796684	0.07173799
130	0.16781144	0.071801975
131	0.16788845	0.07175799
132	0.16815317	0.07170467
133	0.16792221	0.07176222
134	0.1681942	0.07149185
135	0.16798334	0.071723655
136	0.16796255	0.07174523
137	0.1679412	0.07183455
138	0.16809683	0.07174961
139	0.16796228	0.071794406
140	0.16783258	0.07179223
141	0.16797465	0.07174496
142	0.1680461	0.07185249
143	0.16785899	0.07183741
144	0.16793355	0.071777776
145	0.16828501	0.07161744
146	0.16804911	0.07175754
147	0.16807194	0.07170357
148	0.1679081	0.07179995
149	0.16797091	0.071746245
150	0.16794334	0.071729735
151	0.16793208	0.07176636
152	0.16794151	0.07174708
153	0.16796407	0.07171066
154	0.16802338	0.07178016
155	0.16794784	0.071710184
156	0.16797389	0.07172872
157	0.16803052	0.07175185
158	0.16818067	0.07188569
159	0.16795525	0.071758196
160	0.1679053	0.07177122
161	0.16800717	0.07177611
162	0.16796857	0.07176031
163	0.16796264	0.07172315
164	0.16798474	0.07176067
165	0.16802394	0.07162826
166	0.16791876	0.071744815
167	0.16794947	0.07172637
168	0.16799757	0.07173003
169	0.16781186	0.07182588
170	0.1679482	0.071800694
171	0.16843304	0.0715747
172	0.16792507	0.071762726
173	0.1678416	0.07189484
174	0.167844	0.071820274
175	0.16800036	0.07183425
176	0.16791403	0.07177992
177	0.16793978	0.071732596
178	0.16804503	0.07177515
179	0.16797753	0.071746424
180	0.16814569	0.07169531
181	0.1686111	0.07144599
182	0.16787612	0.07178219
183	0.167986	0.07174967
184	0.16838953	0.07150622
185	0.16798434	0.07175653
186	0.16792652	0.07173164
187	0.16811883	0.07177137
188	0.16798529	0.07176916
189	0.16854197	0.07164021
190	0.16792782	0.07172997
191	0.16800767	0.07174571
192	0.16796379	0.07175155
193	0.16789013	0.07173605
194	0.16791451	0.07171871
195	0.16801195	0.07171483
196	0.16799292	0.07171823
197	0.16794088	0.071779564
198	0.16796547	0.07172878
199	0.16751948	0.07195456
200	0.1679894	0.07168265
201	0.1680073	0.071738735
202	0.1679325	0.07177864
203	0.16796121	0.07178439
204	0.16799626	0.071803644
205	0.16793886	0.07176222
206	0.16766945	0.07183011
207	0.16797057	0.0717362
208	0.16803224	0.07191767
209	0.16797626	0.07170011
210	0.1680574	0.07172559
211	0.16800359	0.07169925
212	0.16793467	0.071761504
213	0.1679358	0.07173221
214	0.16809715	0.07169868
215	0.16794376	0.071774766
216	0.16798241	0.0717314
217	0.16788758	0.07174699
218	0.16796815	0.07173811
219	0.16791129	0.07178302
220	0.16796656	0.07173444
221	0.16802397	0.071629986
222	0.16796686	0.0717368
223	0.16799542	0.07176454
224	0.16793402	0.07174568
225	0.16798832	0.071734324
226	0.16802755	0.07172431
227	0.16801426	0.071759626
228	0.16794495	0.071759745
229	0.16794518	0.07173462
230	0.16800204	0.07174684
231	0.16795109	0.07176368
232	0.16797794	0.07175477
233	0.16798343	0.07173838
234	0.16796798	0.0717337
235	0.16824797	0.071568206
236	0.16799492	0.071762934
237	0.16799955	0.071803644
238	0.16795544	0.071747765
239	0.16791895	0.07178374
240	0.16795246	0.07175152
241	0.16800098	0.07174261
242	0.16800912	0.071743354
243	0.1678985	0.07178463
244	0.16796069	0.071791545
245	0.16796167	0.071863726
246	0.16794206	0.07176809
247	0.16797397	0.07175638
248	0.16808525	0.0717202
249	0.16796753	0.07175879
250	0.16785759	0.071759954
251	0.16799048	0.07176565
252	0.16794884	0.07175021
253	0.16801591	0.07171433
254	0.16803615	0.07171382
255	0.1680508	0.07177915
256	0.16795507	0.07174747
257	0.16794696	0.07170926
258	0.16794616	0.071759894
259	0.16800246	0.07174431
260	0.16794024	0.0717576
261	0.16799082	0.07174201
262	0.16803478	0.071741536
263	0.16808188	0.07179682
264	0.16798729	0.07177068
265	0.16784863	0.07177998
266	0.16807693	0.07169606
267	0.16797665	0.07175495
268	0.16796166	0.0717472
269	0.1679518	0.07180576
270	0.19221929	0.08192821
271	0.16800468	0.07175751
272	0.1680714	0.071664676
273	0.16804856	0.07174121
274	0.16800891	0.07173337
275	0.16817841	0.07181688
276	0.16803844	0.071750656
277	0.16800205	0.07171266
278	0.16793233	0.07177965
279	0.16799074	0.071749285
280	0.16796441	0.07174958
281	0.16798033	0.07173358
282	0.1679211	0.071700945
283	0.16796628	0.071732804
284	0.16801348	0.07170011
285	0.16799934	0.07176916
286	0.16818765	0.07170151
287	0.16798447	0.07169162
288	0.16803671	0.07178955
289	0.1679875	0.07175587
290	0.16815926	0.0717798
291	0.16798775	0.07175951
292	0.16795132	0.07175578
293	0.16797362	0.07174875
294	0.16791308	0.071756706
295	0.16802934	0.071839765
296	0.1679367	0.07175331
297	0.1679942	0.071732745
298	0.16788734	0.07171427
299	0.16797762	0.07172765
300	0.16795711	0.07173945
301	0.16790316	0.07192187
302	0.16789071	0.071790144
303	0.16801035	0.071737364
304	0.16796088	0.071702674
305	0.16793536	0.07177086
306	0.16796885	0.071743086
307	0.16796118	0.07174291
308	0.16800405	0.07173015
309	0.16797471	0.071740314
310	0.16798578	0.071720734
311	0.16801235	0.071762875
312	0.1683556	0.0720029
313	0.16798033	0.07173358
314	0.16794205	0.0717894
315	0.16801062	0.071771875
316	0.16793521	0.07176052
317	0.16796726	0.07177724
318	0.16796431	0.07175504
319	0.16798577	0.07175578
320	0.16794863	0.07176085
321	0.16800259	0.07175474
322	0.16797449	0.07176195
323	0.16804236	0.07167594
324	0.1679016	0.07174756
325	0.16797099	0.07175602
326	0.16797689	0.07176079
327	0.16795158	0.07175501
328	0.16796905	0.07174401
329	0.16806105	0.071692064
330	0.16798142	0.071717694
331	0.16789608	0.071622625
332	0.16799253	0.07174666
333	0.16787204	0.07181494
334	0.16802603	0.07173814
335	0.16815959	0.07169749
336	0.1679854	0.07176916
337	0.167956	0.07177718
338	0.16841172	0.07171814
339	0.16796796	0.07178743
340	0.16792104	0.07173063
341	0.16795313	0.07181172
342	0.16811451	0.07172914
343	0.16795753	0.07175402
344	0.16801938	0.07174893
345	0.16799007	0.07175954
346	0.16793075	0.07174082
347	0.16800272	0.07173397
348	0.16822755	0.07165779
349	0.1679624	0.07173897
350	0.16787553	0.07174666
351	0.16794494	0.07177071
352	0.16794494	0.071758345
353	0.16799456	0.07185082
354	0.16795	0.07184218
355	0.16779897	0.07175554
356	0.16796006	0.07201491
357	0.16798377	0.07172923
358	0.16803232	0.07164775
