	log_likelihood
593	-2621.4155
594	-2607.5
595	-2652.8982
596	-2619.9153
597	-2719.2812
598	-2615.9287
599	-2626.1091
600	-2654.7073
601	-2617.3594
602	-2606.4407
603	-2619.5742
604	-2661.4258
605	-2635.3674
606	-2640.403
607	-2625.9292
608	-2644.202
609	-2654.1575
610	-2651.6633
611	-2666.3923
612	-2676.2075
613	-2634.3052
614	-2631.3167
615	-2640.351
616	-2599.5264
617	-2621.1763
618	-2623.147
619	-2617.814
620	-2647.2393
621	-2652.3503
622	-2616.211
623	-2638.423
624	-2654.1177
625	-2637.3718
626	-2622.5598
627	-2607.1633
628	-2644.6868
629	-2674.233
630	-2672.5007
631	-2636.433
632	-2673.87
633	-2669.955
634	-2658.412
635	-2624.99
636	-2613.1
637	-2649.7834
638	-2671.8362
639	-2657.9763
640	-2637.6206
641	-2623.8347
642	-2648.0686
643	-2682.0742
644	-2598.616
645	-2643.9434
646	-2674.0059
647	-2650.3699
648	-2628.4875
649	-2604.149
650	-2665.828
651	-2662.0762
652	-2640.404
653	-2646.0767
654	-2602.761
655	-2675.2424
656	-2659.1216
657	-2626.0002
658	-2625.474
659	-2606.2173
660	-2644.198
661	-2626.6494
662	-2616.6016
663	-2639.0972
664	-2636.89
665	-2622.5789
666	-2617.2407
667	-2609.6382
668	-2630.7886
669	-2610.7505
670	-2657.603
671	-2640.9912
672	-2645.8816
673	-2714.427
674	-2608.4807
675	-2670.624
676	-2644.7046
677	-2610.0542
678	-2630.0137
679	-2698.0474
680	-2667.1294
681	-2621.771
682	-2636.882
683	-2594.5002
684	-2663.6733
685	-2622.5293
686	-2630.637
687	-2673.299
688	-2692.0405
689	-2638.784
690	-2605.4495
691	-2631.5479
692	-2632.3013
693	-2635.1582
694	-2672.222
695	-2645.636
696	-2620.6404
697	-2645.5894
698	-2669.1187
699	-2634.7517
700	-2618.6577
701	-2621.798
702	-2619.233
703	-2713.9187
704	-2634.0952
705	-2642.1792
706	-2665.2231
707	-2611.6606
708	-2600.2273
709	-2656.1982
710	-2666.5815
711	-2693.1008
712	-2612.858
713	-2622.045
714	-2637.4653
715	-2641.6443
716	-2659.5356
717	-2637.232
718	-2627.3892
719	-2598.0745
720	-2599.4075
721	-2643.421
722	-2637.8142
723	-2627.0222
724	-2753.3345
725	-2643.5312
726	-2604.5564
727	-2638.7327
728	-2732.342
729	-2611.36
730	-2686.9666
731	-2637.162
732	-2609.1636
733	-2642.273
734	-2654.7708
735	-2648.5698
736	-2623.817
737	-2628.647
738	-2592.2048
739	-2605.1182
740	-2676.9329
741	-2645.9578
742	-2703.3882
743	-2661.5044
744	-2620.1777
745	-2670.393
746	-2626.5127
747	-2616.295
748	-2607.22
749	-2663.4539
750	-2743.4207
751	-2640.6128
752	-2628.8347
753	-2612.482
754	-2640.4712
755	-2684.505
756	-2607.2327
757	-2624.6519
758	-2658.9272
759	-2608.3164
760	-2658.422
761	-2657.7644
762	-2608.9165
763	-2665.465
764	-2611.559
765	-2634.747
766	-2607.0593
767	-2617.9985
768	-2653.5605
769	-2650.616
770	-2608.7222
771	-2695.1995
772	-2613.23
773	-2605.3826
774	-2629.5972
775	-2624.7966
776	-2624.685
777	-2638.7966
778	-2623.2651
779	-2623.3726
780	-2659.1548
781	-2645.2622
782	-2630.556
783	-2719.5242
784	-2601.9634
785	-2649.862
786	-2641.0151
787	-2635.0088
788	-2635.114
789	-2619.104
790	-2629.5728
791	-2649.3254
792	-2607.1528
793	-2642.3718
794	-2626.9048
795	-2672.29
796	-2620.775
797	-2621.9282
798	-2615.0327
799	-2609.1306
800	-2644.6667
801	-2630.7441
802	-2626.6997
803	-2646.6992
804	-2627.7695
805	-2637.1372
806	-2662.7715
807	-2624.893
808	-2615.5532
809	-2666.7856
810	-2608.3552
811	-2643.5293
812	-2615.1853
813	-2659.8867
814	-2626.9404
815	-2593.0938
816	-2598.893
817	-2651.733
818	-2649.4717
819	-2608.7566
820	-2646.9673
821	-2608.3105
822	-2669.2317
823	-2613.6536
824	-2692.6472
825	-2626.5317
826	-2689.11
827	-2716.795
828	-2616.7844
829	-2646.0747
830	-2679.7983
831	-2617.1575
832	-2649.7703
833	-2640.332
834	-2603.0498
835	-2647.3696
836	-2623.6528
837	-2624.3628
838	-2666.6897
839	-2627.8352
840	-2642.412
841	-2605.8433
842	-2607.3794
843	-2622.4014
844	-2624.8848
845	-2692.8484
846	-2641.3591
847	-2616.865
848	-2645.903
849	-2618.8152
850	-2655.8481
851	-2664.975
852	-2615.4634
853	-2625.7195
854	-2639.156
855	-2626.3025
856	-2607.423
857	-2641.0989
858	-2645.5996
859	-2633.0625
860	-2614.588
861	-2632.2605
862	-2628.7766
863	-2623.9856
864	-2628.439
865	-2627.5024
866	-2652.2788
867	-2642.9644
868	-2618.1685
869	-2635.4094
870	-2639.289
871	-2623.987
872	-2650.3003
873	-2601.4788
874	-2600.9546
875	-2636.3657
