	log_likelihood
935	-2654.5183
936	-2648.6948
937	-2641.4922
938	-2624.4875
939	-2706.4006
940	-2626.0942
941	-2656.3755
942	-2716.5933
943	-2637.398
944	-2634.2834
945	-2624.3508
946	-2615.8726
947	-2614.7117
948	-2625.5605
949	-2612.8953
950	-2620.6157
951	-2619.8154
952	-2656.144
953	-2605.1987
954	-2616.3367
955	-2609.5115
956	-2624.21
957	-2619.108
958	-2701.2778
959	-2613.469
960	-2638.3562
961	-2626.101
962	-2595.5962
963	-2648.022
964	-2621.7588
965	-2628.397
966	-2643.3835
967	-2628.0051
968	-2655.857
969	-2608.5464
970	-2686.3174
971	-2691.0454
972	-2618.7756
973	-2614.9421
974	-2679.1199
975	-2668.4114
976	-2610.0776
977	-2669.837
978	-2610.4004
979	-2670.7793
980	-2606.0078
981	-2655.49
982	-2606.2893
983	-2645.4167
984	-2614.789
985	-2633.6216
986	-2621.0642
987	-2633.8008
988	-2637.184
989	-2658.5073
990	-2666.133
991	-2616.1187
992	-2664.2192
993	-2627.7498
994	-2634.123
995	-2636.2168
996	-2625.271
997	-2627.634
998	-2640.5046
999	-2663.1616
1000	-2630.9243
1001	-2633.685
1002	-2629.2107
1003	-2707.4958
1004	-2646.1938
1005	-2617.984
1006	-2642.1199
1007	-2626.5718
1008	-2598.2473
1009	-2619.7024
1010	-2613.9448
1011	-2699.8767
1012	-2647.2715
1013	-2616.202
1014	-2629.2085
1015	-2673.767
1016	-2627.6353
1017	-2704.4016
1018	-2624.3296
1019	-2654.6592
1020	-2686.6055
1021	-2596.3757
1022	-2621.2104
1023	-2624.3875
1024	-2646.965
1025	-2632.1833
1026	-2651.58
1027	-2645.5852
1028	-2660.7505
1029	-2619.2783
1030	-2694.3716
1031	-2647.7175
1032	-2727.243
1033	-2631.3003
1034	-2753.4836
1035	-2632.1714
1036	-2608.4583
1037	-2649.1362
1038	-2617.7007
1039	-2626.3423
1040	-2696.0803
1041	-2619.1797
1042	-2619.5054
1043	-2658.8882
1044	-2625.7056
1045	-2606.6958
1046	-2608.9695
1047	-2615.6238
1048	-2609.5522
1049	-2649.2446
1050	-2622.0286
1051	-2649.817
1052	-2669.3271
1053	-2669.931
1054	-2694.4517
1055	-2624.02
1056	-2631.6565
1057	-2647.149
1058	-2617.1287
1059	-2618.3801
1060	-2612.7817
1061	-2616.6409
1062	-2650.6128
1063	-2644.2253
1064	-2595.3335
1065	-2632.02
1066	-2611.7542
1067	-2602.8098
1068	-2699.1824
1069	-2629.2515
1070	-2651.388
1071	-2615.284
1072	-2707.8335
1073	-2621.3755
1074	-2674.6785
1075	-2608.4792
1076	-2659.7134
1077	-2669.4136
1078	-2623.5078
1079	-2630.854
1080	-2625.0508
1081	-2634.367
1082	-2662.2158
1083	-2725.45
1084	-2612.766
1085	-2627.2878
1086	-2615.321
1087	-2673.1514
1088	-2616.0652
1089	-2624.8442
1090	-2680.7546
1091	-2650.429
1092	-2638.5886
1093	-2658.6206
1094	-2641.4175
1095	-2605.8384
1096	-2637.7031
1097	-2627.024
1098	-2621.9888
1099	-2616.5442
1100	-2704.395
1101	-2655.7632
1102	-2622.0278
1103	-2607.7063
1104	-2658.6138
1105	-2659.396
1106	-2627.4375
1107	-2640.224
1108	-2643.0054
1109	-2632.6646
1110	-2633.8765
1111	-2648.8242
1112	-2664.7778
1113	-2720.6287
1114	-2632.8862
1115	-2703.2886
1116	-2600.2231
1117	-2625.646
1118	-2632.4707
1119	-2601.6519
1120	-2644.5967
1121	-2631.7588
1122	-2611.1301
1123	-2653.7964
1124	-2644.419
1125	-2632.5364
1126	-2642.3113
1127	-2647.459
1128	-2610.3179
1129	-2642.001
1130	-2614.472
1131	-2633.159
1132	-2660.5598
1133	-2617.6597
1134	-2680.0747
1135	-2677.3625
1136	-2621.5952
1137	-2608.724
1138	-2632.9956
1139	-2661.398
1140	-2640.7246
1141	-2611.1047
1142	-2716.734
1143	-2610.3745
1144	-2605.6333
1145	-2676.1428
1146	-2650.0234
1147	-2640.6433
1148	-2639.9832
1149	-2665.8691
1150	-2629.0833
1151	-2631.6895
1152	-2623.4927
1153	-2613.9321
1154	-2645.705
1155	-2627.896
1156	-2620.161
1157	-2637.288
1158	-2668.1772
1159	-2669.5798
1160	-2626.4565
1161	-2633.566
1162	-2614.9648
1163	-2646.7197
1164	-2695.145
1165	-2652.7773
1166	-2636.853
1167	-2622.2673
1168	-2646.4583
1169	-2681.0422
1170	-2668.0747
1171	-2619.4504
1172	-2621.2354
1173	-2638.6155
1174	-2629.6729
1175	-2629.384
1176	-2676.6711
1177	-2653.655
1178	-2730.4128
1179	-2652.9849
1180	-2646.257
1181	-2622.044
1182	-2612.0012
1183	-2650.3577
1184	-2613.4307
1185	-2612.2239
1186	-2617.6768
1187	-2614.1394
1188	-2683.0835
1189	-2642.4126
1190	-2635.8196
1191	-2633.4258
1192	-2615.5
1193	-2636.8535
1194	-2624.0762
1195	-2633.7427
1196	-2623.179
1197	-2742.0913
1198	-2649.0874
1199	-2682.1455
1200	-2657.5728
1201	-2639.0547
1202	-2628.019
1203	-2610.9832
1204	-2631.127
1205	-2614.572
1206	-2670.2158
1207	-2604.0269
1208	-2633.4536
1209	-2655.7512
1210	-2633.7224
1211	-2635.791
1212	-2640.9614
1213	-2637.575
1214	-2618.1277
1215	-2613.7913
1216	-2612.8289
1217	-2733.4392
1218	-2611.3774
1219	-2637.3333
1220	-2606.639
1221	-2620.5398
1222	-2620.007
1223	-2610.8884
1224	-2708.8926
1225	-2646.5303
1226	-2710.7278
1227	-2606.1414
1228	-2617.1348
1229	-2641.5857
1230	-2640.1865
1231	-2611.4324
1232	-2638.0574
1233	-2636.0647
1234	-2647.6733
1235	-2708.7734
1236	-2629.1438
1237	-2618.9282
1238	-2650.4246
1239	-2635.5317
1240	-2615.8743
1241	-2637.4626
1242	-2611.7349
1243	-2652.6746
1244	-2623.9167
1245	-2646.8896
1246	-2608.6472
1247	-2609.2747
1248	-2636.42
1249	-2652.744
1250	-2627.6296
1251	-2685.4497
1252	-2656.9683
1253	-2656.7502
1254	-2636.7632
1255	-2670.1274
1256	-2651.4966
1257	-2612.8015
1258	-2638.935
1259	-2643.123
1260	-2644.0947
1261	-2651.0078
1262	-2624.6782
1263	-2639.9155
1264	-2639.5938
1265	-2627.224
1266	-2605.624
1267	-2601.7004
1268	-2656.8696
1269	-2625.5962
1270	-2685.5964
1271	-2650.4321
1272	-2645.5085
1273	-2626.558
1274	-2648.3257
1275	-2625.065
1276	-2656.7
1277	-2636.4568
1278	-2615.519
1279	-2635.2183
1280	-2624.9524
1281	-2633.726
1282	-2631.7102
1283	-2622.7715
1284	-2609.789
1285	-2650.2263
1286	-2612.1348
1287	-2658.0073
1288	-2641.9604
1289	-2625.1484
1290	-2622.2202
1291	-2654.231
1292	-2626.0461
1293	-2670.7456
1294	-2666.0632
1295	-2619.5842
1296	-2680.4229
1297	-2633.0488
1298	-2664.0598
1299	-2618.6118
1300	-2623.648
1301	-2610.5007
1302	-2607.5503
1303	-2624.5886
1304	-2639.0107
1305	-2638.8022
1306	-2743.4963
1307	-2635.756
1308	-2606.749
1309	-2645.6938
1310	-2610.2168
1311	-2592.7517
1312	-2634.2944
1313	-2634.452
1314	-2630.0327
1315	-2645.8325
1316	-2615.4673
1317	-2656.4565
1318	-2628.2612
1319	-2609.1362
1320	-2630.2043
1321	-2622.1511
1322	-2647.4563
1323	-2636.9702
1324	-2629.5242
1325	-2607.0078
1326	-2660.018
1327	-2625.9768
1328	-2612.0957
1329	-2640.0396
1330	-2597.4695
1331	-2704.4534
1332	-2686.8206
1333	-2617.8013
1334	-2603.507
1335	-2645.2988
1336	-2626.7493
1337	-2632.1008
1338	-2629.942
1339	-2639.1697
1340	-2622.2134
1341	-2629.5015
1342	-2667.429
1343	-2628.377
1344	-2780.523
1345	-2623.7986
1346	-2636.5928
1347	-2642.3113
1348	-2629.2202
1349	-2648.504
1350	-2628.4692
1351	-2676.5083
1352	-2678.4885
1353	-2617.6873
1354	-2672.3977
1355	-2621.1106
1356	-2641.476
1357	-2634.4265
1358	-2638.358
1359	-2637.5234
1360	-2620.031
1361	-2629.857
1362	-2624.469
